"","cell","cell_id","occs","interval.ma","early_interval","fad","lad","accepted_name","genus","ex","phylum","class","order","family","paleolat","paleolng","formation","member","occurrence_no","collection_no","collection_name","reference_no","long.x","lat.x","long","lat"
"7845","F515",50,222,"453","Sandbian","458.4","445.2","Bimuria","Bimuria",0,"Brachiopoda","Strophomenata","Strophomenida","Bimuriidae",-19.92,-109.42,"Oranda","","712250","76338","Oranda Formation, Bed 8-23","25807",-109.42,-19.92,-110.191236208665,-16.4313497128954
"7846","F515",50,222,"453","Sandbian","458.4","443.8","Bumastoides","Bumastoides",0,"Arthropoda","Trilobita","Corynexochida","Illaenidae",-19.13,-110.98,"Edinburg","Effna Limestone","1326789","178252","I77EG2, I-77 road cut, Effna Limestone member","59012",-110.98,-19.13,-110.191236208665,-16.4313497128954
"7847","F515",50,222,"453","Sandbian","458.4","443.8","Bumastoides","Bumastoides",0,"Arthropoda","Trilobita","Corynexochida","Illaenidae",-19.13,-110.98,"Edinburg","Effna Limestone","1326799","178253","I77EG3, I-77 road cut, Effna Limestone member","59012",-110.98,-19.13,-110.191236208665,-16.4313497128954
"7848","F515",50,222,"453","Sandbian","458.4","443.8","Bumastoides","Bumastoides",0,"Arthropoda","Trilobita","Corynexochida","Illaenidae",-19.13,-110.98,"Edinburg","Effna Limestone","1326780","178251","I7758EG, I-77 road cut, Effna Limestone member","59012",-110.98,-19.13,-110.191236208665,-16.4313497128954
"7849","F515",50,222,"453","Sandbian","458.4","443.8","Bumastoides","Bumastoides",0,"Arthropoda","Trilobita","Corynexochida","Illaenidae",-19.13,-110.98,"Edinburg","Botetourt","1326823","178256","I7760BT, I-77 road cut, Botetourt member","59012",-110.98,-19.13,-110.191236208665,-16.4313497128954
"7850","F515",50,222,"453","Sandbian","458.4","443.8","Bumastoides","Bumastoides",0,"Arthropoda","Trilobita","Corynexochida","Illaenidae",-19.13,-110.98,"Edinburg","Botetourt","1326811","178255","I77BT1, I-77 road cut, Botetourt member","59012",-110.98,-19.13,-110.191236208665,-16.4313497128954
"7851","F515",50,222,"453","Sandbian","477.7","423","Bumastus","Bumastus",0,"Arthropoda","Trilobita","Corynexochida","Illaenidae",-14.84,-106.71,"Gull River","Upper","273369","26174","Lake Simcoe Area","7251",-106.71,-14.84,-110.191236208665,-16.4313497128954
"7852","F515",50,222,"453","Sandbian","453","443.8","Calapoecia","Calapoecia",0,"Cnidaria","Anthozoa","Sarcinulida","Syringophyllidae",-14.84,-106.71,"Bobcaygeon","Coboconk","273579","26188","Lake Simcoe Area, Lower Member, Submember C1B","7251",-106.71,-14.84,-110.191236208665,-16.4313497128954
"7853","F515",50,222,"453","Sandbian","453","445.2","Calipernurus","Calipernurus",0,"Arthropoda","Trilobita","Odontopleurida","Odontopleuridae",-19.78,-109.67,"Edinburg","Botetourt limestone","920631","73342","Loc. 3. south side of road, 0.2 mile east of Strasburg Junction","35193",-109.67,-19.78,-110.191236208665,-16.4313497128954
"7854","F515",50,222,"453","Sandbian","458.4","445.2","Calliops","Calliops",0,"Arthropoda","Trilobita","Phacopida","Pterygometopidae",-20.32,-110.7,"Edinburg","Liberty Hall","712210","76336","Edinburgh Formation, Liberty Hall Facies","25807",-110.7,-20.32,-110.191236208665,-16.4313497128954
