"","cell","cell_id","occs","interval.ma","early_interval","fad","lad","accepted_name","genus","ex","phylum","class","order","family","paleolat","paleolng","occurrence_no","collection_no","reference_no","long.x","lat.x","lat","long"
"8025","F382",30,540,3.6,"Zanclean",66,0.0117,"Polinices","Polinices (Polinices)",0,"Mollusca","Gastropoda","Sorbeoconcha","Naticidae",1.28,-78.64,577672,60772,17422,-78.64,1.28,-81.7390955747072,2.38295803461706
"8026","F382",30,540,3.6,"Zanclean",66,0.0117,"Polinices","Polinices (Polinices)",0,"Mollusca","Gastropoda","Sorbeoconcha","Naticidae",1.17,-77.89,1078774,131333,42438,-77.89,1.17,-81.7390955747072,2.38295803461706
"8027","F382",30,540,3.6,"Zanclean",66,0.0117,"Polinices","Polinices (Polinices)",0,"Mollusca","Gastropoda","Sorbeoconcha","Naticidae",1.17,-77.89,1078853,131334,42438,-77.89,1.17,-81.7390955747072,2.38295803461706
"8028","F382",30,540,3.6,"Zanclean",66,0.0117,"Polinices","Polinices (Polinices)",0,"Mollusca","Gastropoda","Sorbeoconcha","Naticidae",1.29,-78.55,1078632,131293,42438,-78.55,1.29,-81.7390955747072,2.38295803461706
"8029","F382",30,540,3.6,"Zanclean",66,0.0117,"Polinices","Polinices (Polinices)",0,"Mollusca","Gastropoda","Sorbeoconcha","Naticidae",1.29,-78.48,428591,41802,11194,-78.48,1.29,-81.7390955747072,2.38295803461706
"8030","F382",30,540,3.6,"Zanclean",66,0.0117,"Polinices","Polinices (Polinices)",0,"Mollusca","Gastropoda","Sorbeoconcha","Naticidae",1.28,-78.52,577579,60771,17422,-78.52,1.28,-81.7390955747072,2.38295803461706
"8031","F382",30,540,3.6,"Zanclean",66,0.0117,"Polinices","Polinices (Polinices)",0,"Mollusca","Gastropoda","Sorbeoconcha","Naticidae",1.28,-78.64,428602,41574,11194,-78.64,1.28,-81.7390955747072,2.38295803461706
"8032","F382",30,540,3.6,"Zanclean",33.9,0.0117,"Polystira","Polystira",0,"Mollusca","Gastropoda","Neogastropoda","Turridae",1.28,-78.52,577527,60771,17422,-78.52,1.28,-81.7390955747072,2.38295803461706
"8033","F382",30,540,3.6,"Zanclean",33.9,0.0117,"Polystira","Polystira",0,"Mollusca","Gastropoda","Neogastropoda","Turridae",1.17,-77.89,1078776,131333,42438,-77.89,1.17,-81.7390955747072,2.38295803461706
"8034","F382",30,540,3.6,"Zanclean",33.9,0.0117,"Polystira","Polystira",0,"Mollusca","Gastropoda","Neogastropoda","Turridae",1.29,-78.55,1078633,131293,42438,-78.55,1.29,-81.7390955747072,2.38295803461706
"8035","F382",30,540,3.6,"Zanclean",33.9,0.0117,"Polystira","Polystira",0,"Mollusca","Gastropoda","Neogastropoda","Turridae",1.33,-78.65,870014,90857,13236,-78.65,1.33,-81.7390955747072,2.38295803461706
"8036","F382",30,540,3.6,"Zanclean",33.9,0.0117,"Polystira","Polystira",0,"Mollusca","Gastropoda","Neogastropoda","Turridae",1.28,-78.64,577618,60772,17422,-78.64,1.28,-81.7390955747072,2.38295803461706
"8037","F382",30,540,3.6,"Zanclean",33.9,0.0117,"Polystira","Polystira",0,"Mollusca","Gastropoda","Neogastropoda","Turridae",1.17,-77.89,1078854,131334,42438,-77.89,1.17,-81.7390955747072,2.38295803461706
"8038","F382",30,540,3.6,"Zanclean",33.9,0.0117,"Polystira","Polystira",0,"Mollusca","Gastropoda","Neogastropoda","Turridae",1.17,-77.89,1078708,131332,42438,-77.89,1.17,-81.7390955747072,2.38295803461706
