"","cell","cell_id","occs","interval.ma","early_interval","fad","lad","accepted_name","genus","ex","phylum","class","order","family","paleolat","paleolng","occurrence_no","collection_no","reference_no","long.x","lat.x","lat","long"
"43","F110",2,23,184.2,"Pliensbachian",199.5,93.9,"Eomiodon","Eomiodon",0,"Mollusca","Bivalvia","Veneroidei","Neomiodontidae",47.77,166.41,416025,40332,10664,166.41,47.77,167.141465940826,45.610404392128
"44","F110",2,23,184.2,"Pliensbachian",199.5,93.9,"Eomiodon","Eomiodon",0,"Mollusca","Bivalvia","Veneroidei","Neomiodontidae",48.13,165.71,415343,39570,10664,165.71,48.13,167.141465940826,45.610404392128
"45","F110",2,23,184.2,"Pliensbachian",199.5,93.9,"Eomiodon","Eomiodon",0,"Mollusca","Bivalvia","Veneroidei","Neomiodontidae",47.93,166.46,415346,40224,10664,166.46,47.93,167.141465940826,45.610404392128
"46","F110",2,23,184.2,"Pliensbachian",242,100.5,"Falcimytilus","Falcimytilus",0,"Mollusca","Bivalvia","Mytilida","Mytilidae",48.13,165.71,410236,39570,10664,165.71,48.13,167.141465940826,45.610404392128
"47","F110",2,23,184.2,"Pliensbachian",242,100.5,"Falcimytilus","Falcimytilus",0,"Mollusca","Bivalvia","Mytilida","Mytilidae",48.31,166.34,415875,40309,10664,166.34,48.31,167.141465940826,45.610404392128
"48","F110",2,23,184.2,"Pliensbachian",242,100.5,"Falcimytilus","Falcimytilus",0,"Mollusca","Bivalvia","Mytilida","Mytilidae",47.77,166.41,416027,40333,10664,166.41,47.77,167.141465940826,45.610404392128
"49","F110",2,23,184.2,"Pliensbachian",242,100.5,"Falcimytilus","Falcimytilus",0,"Mollusca","Bivalvia","Mytilida","Mytilidae",48.31,166.34,415886,40312,10664,166.34,48.31,167.141465940826,45.610404392128
"50","F110",2,23,184.2,"Pliensbachian",242,100.5,"Falcimytilus","Falcimytilus",0,"Mollusca","Bivalvia","Mytilida","Mytilidae",47.77,166.41,416024,40332,10664,166.41,47.77,167.141465940826,45.610404392128
"51","F110",2,23,184.2,"Pliensbachian",458.4,0.0117,"Nuculana","Nuculana",0,"Mollusca","Bivalvia","Nuculanida","Nuculanidae",48.28,166.1,1443015,201501,68962,166.1,48.28,167.141465940826,45.610404392128
"52","F110",2,23,184.2,"Pliensbachian",458.4,0.0117,"Nuculana","Nuculana",0,"Mollusca","Bivalvia","Nuculanida","Nuculanidae",48.27,166.1,1443016,201502,68962,166.1,48.27,167.141465940826,45.610404392128
"53","F110",2,23,184.2,"Pliensbachian",251.2,56,"Pleuromya","Pleuromya",0,"Mollusca","Bivalvia","Pholadida","Pleuromyidae",48.07,165.79,416045,40336,10664,165.79,48.07,167.141465940826,45.610404392128
"54","F110",2,23,184.2,"Pliensbachian",208.5,145,"Pteroperna","Pteroperna",0,"Mollusca","Bivalvia","Ostreida","Pteriidae",48.27,166.1,1443017,201503,68962,166.1,48.27,167.141465940826,45.610404392128
"55","F110",2,23,184.2,"Pliensbachian",201.4,184.2,"Radulonectites","Radulonectites",1,"Mollusca","Bivalvia","Pectinida","Pectinidae",47.77,166.41,416031,40333,10664,166.41,47.77,167.141465940826,45.610404392128
"56","F130",3,243,184.2,"Pliensbachian",237,113,"Antiquilima","Antiquilima",0,"Mollusca","Bivalvia","Pectinida","Limidae",42.98,13.53,1525878,213648,73768,13.53,42.98,12.8585340591738,45.610404392128
"57","F130",3,243,184.2,"Pliensbachian",237,113,"Antiquilima","Antiquilima",0,"Mollusca","Bivalvia","Pectinida","Limidae",42.98,13.53,1525913,213654,73768,13.53,42.98,12.8585340591738,45.610404392128
"58","F130",3,243,184.2,"Pliensbachian",242,154.8,"Aulacothyris","Aulacothyris",0,"Brachiopoda","Rhynchonellata","Terebratulida","Zeilleriidae",44.54,8.88,1547980,38105,75714,8.88,44.54,12.8585340591738,45.610404392128
"59","F130",3,243,184.2,"Pliensbachian",382.7,3.6,"Avicula","Avicula",0,"Mollusca","Bivalvia","NoB","Aviculidae",43.01,14.08,1572755,222207,78104,14.08,43.01,12.8585340591738,45.610404392128
"60","F130",3,243,184.2,"Pliensbachian",382.7,3.6,"Avicula","Avicula",0,"Mollusca","Bivalvia","NoB","Aviculidae",42.97,14.32,1572668,222169,78104,14.32,42.97,12.8585340591738,45.610404392128
"61","F130",3,243,184.2,"Pliensbachian",323.2,66,"Bakevellia","Bakevellia",0,"Mollusca","Bivalvia","Ostreida","Bakevelliidae",42.12,14.95,399947,38374,10298,14.95,42.12,12.8585340591738,45.610404392128
"62","F130",3,243,184.2,"Pliensbachian",259.51,7.246,"Camptonectes","Camptonectes",0,"Mollusca","Bivalvia","Pectinida","Pectinidae",42.98,13.53,1525791,213633,73768,13.53,42.98,12.8585340591738,45.610404392128
"63","F130",3,243,184.2,"Pliensbachian",259.51,7.246,"Camptonectes","Camptonectes",0,"Mollusca","Bivalvia","Pectinida","Pectinidae",42.98,13.53,1525795,213634,73768,13.53,42.98,12.8585340591738,45.610404392128
"64","F130",3,243,184.2,"Pliensbachian",259.51,7.246,"Camptonectes","Camptonectes",0,"Mollusca","Bivalvia","Pectinida","Pectinidae",42.98,13.53,1525870,213647,73768,13.53,42.98,12.8585340591738,45.610404392128
"65","F130",3,243,184.2,"Pliensbachian",259.51,7.246,"Camptonectes","Camptonectes",0,"Mollusca","Bivalvia","Pectinida","Pectinidae",42.98,13.53,1525820,213638,73768,13.53,42.98,12.8585340591738,45.610404392128
"66","F130",3,243,184.2,"Pliensbachian",259.51,7.246,"Camptonectes","Camptonectes",0,"Mollusca","Bivalvia","Pectinida","Pectinidae",42.98,13.53,1525803,213635,73768,13.53,42.98,12.8585340591738,45.610404392128
"67","F130",3,243,184.2,"Pliensbachian",259.51,7.246,"Camptonectes","Camptonectes",0,"Mollusca","Bivalvia","Pectinida","Pectinidae",42.98,13.53,1525809,213636,73768,13.53,42.98,12.8585340591738,45.610404392128
"68","F130",3,243,184.2,"Pliensbachian",251.2,170.9,"Cardinia","Cardinia",0,"Mollusca","Bivalvia","Carditida","Cardiniidae",42.98,13.53,1525872,213647,73768,13.53,42.98,12.8585340591738,45.610404392128
"69","F130",3,243,184.2,"Pliensbachian",251.2,170.9,"Cardinia","Cardinia",0,"Mollusca","Bivalvia","Carditida","Cardiniidae",42.98,13.53,1525866,213646,73768,13.53,42.98,12.8585340591738,45.610404392128
"70","F130",3,243,184.2,"Pliensbachian",199.5,184.2,"Cuneirhynchia","Cuneirhynchia",1,"Brachiopoda","Rhynchonellata","Rhynchonellida","Rhynchonellidae",42.62,13.87,1555588,219471,76353,13.87,42.62,12.8585340591738,45.610404392128
"71","F130",3,243,184.2,"Pliensbachian",199.5,184.2,"Cuneirhynchia","Cuneirhynchia",1,"Brachiopoda","Rhynchonellata","Rhynchonellida","Rhynchonellidae",43,13.94,1219358,159221,52103,13.94,43,12.8585340591738,45.610404392128
"72","F130",3,243,184.2,"Pliensbachian",237,184.2,"Elysastraea","Elysastraea",1,"Cnidaria","Anthozoa","Scleractinia","Montlivaltiidae",44.7,7.85,431766,42211,11186,7.85,44.7,12.8585340591738,45.610404392128
"73","F130",3,243,184.2,"Pliensbachian",259.51,66,"Entolium","Entolium",0,"Mollusca","Bivalvia","Pectinida","Entoliidae",42.98,13.53,1525899,213651,73768,13.53,42.98,12.8585340591738,45.610404392128
"74","F130",3,243,184.2,"Pliensbachian",259.51,66,"Entolium","Entolium",0,"Mollusca","Bivalvia","Pectinida","Entoliidae",42.12,14.95,399955,38375,10298,14.95,42.12,12.8585340591738,45.610404392128
"75","F130",3,243,184.2,"Pliensbachian",259.51,66,"Entolium","Entolium",0,"Mollusca","Bivalvia","Pectinida","Entoliidae",42.98,13.53,1525790,213633,73768,13.53,42.98,12.8585340591738,45.610404392128
"76","F130",3,243,184.2,"Pliensbachian",259.51,66,"Entolium","Entolium",0,"Mollusca","Bivalvia","Pectinida","Entoliidae",42.98,13.53,1525802,213635,73768,13.53,42.98,12.8585340591738,45.610404392128
"77","F130",3,243,184.2,"Pliensbachian",259.51,66,"Entolium","Entolium",0,"Mollusca","Bivalvia","Pectinida","Entoliidae",43.01,14.08,1572758,222208,78104,14.08,43.01,12.8585340591738,45.610404392128
